"vaccine","geography_type","geography","year_season","dimension_type","dimension","coverage_estimate","population_sample_size"
"Seasonal Influenza","HHS Regions/National","Region 2","2010-11","Marital Status","Married","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2011-12","Marital Status","Married","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2012-13","Marital Status","Married","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2013-14","Marital Status","Married","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2014-15","Marital Status","Married","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2015-16","Marital Status","Married","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2016-17","Marital Status","Married","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2018-19","Marital Status","Never Married","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2019-20","Marital Status","Never Married","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2005-06","Marital Status","Married","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2006-07","Marital Status","Married","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2008-09","Marital Status","Separated","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2009-10","Marital Status","Separated","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2010-11","Marital Status","Separated","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2011-12","Marital Status","Separated","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2012-13","Marital Status","Separated","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2013-14","Marital Status","Separated","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2014-15","Marital Status","Separated","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2007-08","Marital Status","Married","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2008-09","Marital Status","Married","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2005-06","All Residents",">=18 Years","77.9","262077"
"Pneumococcal","HHS Regions/National","Region 2","2015","Marital Status","Widowed","NA",
"Pneumococcal","HHS Regions/National","Region 2","2016","Marital Status","Widowed","NA",
"Pneumococcal","HHS Regions/National","Region 2","2017","Marital Status","Widowed","NA",
"Pneumococcal","HHS Regions/National","Region 2","2018","Marital Status","Widowed","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2006-07","All Residents",">=18 Years","79.2","265923"
"Pneumococcal","HHS Regions/National","Region 2","2019","Marital Status","Widowed","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2018-19","Age","18-24 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2017-18","Age","18-24 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2011-12","Age","18-24 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2017-18","Marital Status","Married","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2018-19","Marital Status","Married","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2019-20","Marital Status","Married","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2005-06","Marital Status","Separated","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2006-07","Marital Status","Separated","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2011-12","All Residents",">=18 Years","79.4","274243"
"Seasonal Influenza","HHS Regions/National","Region 2","2012-13","All Residents",">=18 Years","79.2","278327"
"Seasonal Influenza","HHS Regions/National","Region 2","2007-08","All Residents",">=18 Years","80.8","268872"
"Seasonal Influenza","HHS Regions/National","Region 2","2008-09","All Residents",">=18 Years","81.2","269995"
"Seasonal Influenza","HHS Regions/National","Region 2","2009-10","All Residents",">=18 Years","81.2","271201"
"Seasonal Influenza","HHS Regions/National","Region 2","2010-11","All Residents",">=18 Years","78.4","274698"
"Pneumococcal","HHS Regions/National","Region 2","2016","Race and Ethnicity","Asian, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2017","Race and Ethnicity","Asian, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2015","Race and Ethnicity","Asian, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2018","Race and Ethnicity","Asian, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2019","Race and Ethnicity","Asian, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2006","Race and Ethnicity","Asian or Pacific Islander, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2019-20","Age","18-24 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2005-06","Age","25-44 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2009-10","Sex","Male","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2010-11","Sex","Male","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2011-12","Sex","Male","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2012-13","Sex","Male","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2005-06","Marital Status","Widowed","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2006-07","Marital Status","Widowed","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2007-08","Marital Status","Widowed","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2008-09","Marital Status","Widowed","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2009-10","Marital Status","Widowed","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2010-11","Marital Status","Widowed","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2006-07","Sex","Male","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2007-08","Sex","Male","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2008-09","Sex","Male","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2009-10","Age","18-24 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2010-11","Age","18-24 Years","NA",
"Pneumococcal","HHS Regions/National","Region 2","2006","Marital Status","Divorced","NA",
"Pneumococcal","HHS Regions/National","Region 2","2006","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2007","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2008","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2009","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2010","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2011","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2014-15","All Residents",">=18 Years","79.1","281423"
"Seasonal Influenza","HHS Regions/National","Region 2","2013-14","All Residents",">=18 Years","79.9","274424"
"Pneumococcal","HHS Regions/National","Region 2","2019","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2010","Race and Ethnicity","Asian, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2011","Race and Ethnicity","Asian, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2012","Race and Ethnicity","Asian, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2013","Race and Ethnicity","Asian, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2014","Race and Ethnicity","Asian, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2012-13","Age","18-24 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2013-14","Age","18-24 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2014-15","Age","18-24 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2015-16","Age","18-24 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2016-17","Age","18-24 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2017-18","Sex","Female","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2018-19","Sex","Female","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2019-20","Sex","Female","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2005-06","Sex","Male","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2013-14","Marital Status","Divorced","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2014-15","Marital Status","Divorced","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2015-16","Marital Status","Divorced","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2016-17","Marital Status","Divorced","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2017-18","Marital Status","Divorced","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2018-19","Marital Status","Divorced","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2019-20","Marital Status","Divorced","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2016-17","Sex","Female","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2015-16","Sex","Female","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2005-06","Age","18-24 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2006-07","Age","18-24 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2007-08","Age","18-24 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2008-09","Age","18-24 Years","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2015-16","Marital Status","Separated","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2016-17","Marital Status","Separated","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2017-18","Marital Status","Separated","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2018-19","Marital Status","Separated","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2019-20","Marital Status","Separated","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2005-06","Marital Status","Divorced","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2019-20","All Residents",">=18 Years","76.5","269450"
"Seasonal Influenza","HHS Regions/National","Region 2","2015-16","All Residents",">=18 Years","78.0","279286"
"Seasonal Influenza","HHS Regions/National","Region 2","2016-17","All Residents",">=18 Years","77.3","281670"
"Seasonal Influenza","HHS Regions/National","Region 2","2017-18","All Residents",">=18 Years","76.9","280618"
"Seasonal Influenza","HHS Regions/National","Region 2","2018-19","All Residents",">=18 Years","77.1","277742"
"Pneumococcal","HHS Regions/National","Region 2","2012","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2013","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2014","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2015","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2016","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","NA",
"Pneumococcal","HHS Regions/National","Region 2","2017","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2020-21","All Residents",">=18 Years","76.0","225468"
"Pneumococcal","HHS Regions/National","Region 2","2018","Race and Ethnicity","American Indian or Alaska Native, Non-Hispanic","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2012-13","Sex","Female","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2013-14","Sex","Female","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2014-15","Sex","Female","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2006-07","Marital Status","Divorced","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2007-08","Marital Status","Divorced","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2008-09","Marital Status","Divorced","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2009-10","Marital Status","Divorced","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2010-11","Marital Status","Divorced","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2011-12","Marital Status","Divorced","NA",
"Seasonal Influenza","HHS Regions/National","Region 2","2012-13","Marital Status","Divorced","NA",
"Pneumococcal","HHS Regions/National","Region 2","2017","Marital Status","Never Married","NA",
"Pneumococcal","HHS Regions/National","Region 2","2008","Marital Status","Never Married","NA",
"Pneumococcal","HHS Regions/National","Region 2","2009","Marital Status","Never Married","NA",
"Pneumococcal","HHS Regions/National","Region 2","2009","Education","Advanced Degree","NA",
"Pneumococcal","HHS Regions/National","Region 2","2010","Education","Advanced Degree","NA",
"Pneumococcal","HHS Regions/National","Region 2","2006","Marital Status","Never Married","NA",
"Pneumococcal","HHS Regions/National","Region 2","2007","Marital Status","Never Married","NA",
"Pneumococcal","HHS Regions/National","Region 2","2012","Marital Status","Married","NA",
"Pneumococcal","HHS Regions/National","Region 2","2013","Marital Status","Married","NA",
"Pneumococcal","HHS Regions/National","Region 2","2014","Marital Status","Married","NA",
"Pneumococcal","HHS Regions/National","Region 2","2015","Marital Status","Married","NA",
"Pneumococcal","HHS Regions/National","Region 2","2010","Marital Status","Married","NA",
"Pneumococcal","HHS Regions/National","Region 2","2011","Marital Status","Married","NA",
"Pneumococcal","HHS Regions/National","Region 2","2009","Marital Status","Married","NA",
"Pneumococcal","HHS Regions/National","Region 2","2014","Marital Status","Widowed","NA",
"Pneumococcal","HHS Regions/National","Region 2","2013","Marital Status","Widowed","NA",
"Pneumococcal","HHS Regions/National","Region 2","2018","Marital Status","Divorced","NA",
"Pneumococcal","HHS Regions/National","Region 2","2019","Marital Status","Divorced","NA",
"Pneumococcal","HHS Regions/National","Region 2","2010","Sex","Male","NA",
"Pneumococcal","HHS Regions/National","Region 2","2011","Sex","Male","NA",
"Pneumococcal","HHS Regions/National","Region 2","2012","Sex","Male","NA",
"Pneumococcal","HHS Regions/National","Region 2","2013","Sex","Male","NA",
"Pneumococcal","HHS Regions/National","Region 2","2015","Marital Status","Divorced","NA",
"Pneumococcal","HHS Regions/National","Region 2","2014","Marital Status","Divorced","NA",
"Pneumococcal","HHS Regions/National","Region 2","2016","Marital Status","Divorced","NA",
"Pneumococcal","HHS Regions/National","Region 2","2017","Marital Status","Divorced","NA",
"Pneumococcal","HHS Regions/National","Region 2","2010","Marital Status","Widowed","NA",
"Pneumococcal","HHS Regions/National","Region 2","2011","Marital Status","Widowed","NA",
